frameIndex;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_LOGenergy;pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_LOGenergy_de;pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12];pcm_LOGenergy_de_de
39;0.389776;-4.645230e+000;1.205637e+001;3.977232e+000;-1.270895e+000;-2.336837e+001;-1.693271e+001;4.887614e-001;-2.875986e+001;1.027739e+001;-1.998370e+001;-1.416244e+001;-1.122760e+001;-7.979494e+000;1.622621e+000;5.888430e-001;-1.158426e+000;2.025545e+000;9.298592e+000;-5.137136e+000;-4.076689e+000;-1.244568e+000;8.580618e-001;1.155089e+000;-6.699641e+000;-1.758116e-001;-2.542881e-001;-1.208572e-001;-1.236336e+000;6.312137e-001;-1.608089e+000;-6.462563e-001;-1.205278e+000;1.478533e-001;2.163996e+000;-8.580276e-002;2.819511e+000;7.360286e-001;-1.025083e+000;1.466831e-001
40;0.399771;-4.280448e+000;1.235402e+001;4.618857e+000;-3.290749e-001;-1.097288e+001;-3.017647e+001;-8.620803e+000;-1.878819e+001;5.145240e-001;-2.082538e+001;-2.112527e+001;-1.267372e+001;-8.228668e+000;1.213182e+000;-1.238104e+000;-7.738516e-001;6.832091e-001;6.336727e+000;-5.799643e+000;-3.443519e+000;1.619457e+000;9.224948e-001;3.803157e+000;-3.737970e+000;-1.417230e+000;-2.793736e-002;-1.411131e-001;-1.622867e+000;-2.018189e-001;-1.765618e+000;-2.387710e+000;6.737145e-001;1.008313e+000;1.994736e+000;1.283328e+000;3.442036e+000;2.337391e+000;-9.245539e-001;2.745352e-001
41;0.409765;-2.514421e+000;8.782964e+000;4.006123e+000;-9.640833e-001;-1.031259e+001;-3.578166e+001;-9.541167e+000;-2.329285e+001;1.700443e+000;-1.851347e+001;-2.063204e+001;-1.848901e+001;-8.341755e+000;5.391517e-001;-2.793629e+000;-1.985153e+000;-2.126560e+000;2.161494e+000;-4.645198e+000;-2.214311e+000;3.847845e+000;2.298343e+000;8.255031e+000;-5.912483e-001;-3.349487e+000;4.164940e-001;-5.104817e-002;-1.605944e+000;-1.371999e+000;-1.356132e+000;-2.462705e+000;2.207093e+000;1.097433e+000;1.278350e+000;2.336712e+000;2.362950e+000;2.036129e+000;1.219072e-001;2.996423e-001
42;0.419759;-2.971725e+000;5.764439e+000;-2.443123e-001;-4.724914e+000;-1.015630e+001;-3.679526e+001;-1.090272e+001;-1.896718e+001;8.279633e+000;-4.806578e+000;-1.999626e+001;-1.822242e+001;-7.597983e+000;1.236657e+000;-4.662848e+000;-3.692330e+000;-3.209453e+000;-1.133249e-001;2.681694e-002;4.303726e-001;3.711334e+000;7.841338e+000;1.207053e+001;2.484437e+000;-2.138213e+000;7.869006e-001;9.019263e-002;-9.659460e-001;-1.612344e+000;-2.217491e-001;-9.527146e-001;2.967836e+000;8.073503e-001;-3.442328e-002;1.834116e+000;-5.986714e-001;8.165317e-001;1.273372e+000;1.378350e-001
43;0.429753;-2.603833e+000;1.383012e+000;-3.516947e+000;-9.705777e+000;-1.296919e+001;-3.684931e+001;-9.441834e+000;-9.431147e+000;1.788655e+001;1.328205e+001;-1.768319e+001;-2.520069e+001;-6.212366e+000;1.355643e+000;-5.728507e+000;-6.559180e+000;-2.808786e+000;2.100904e-001;2.985098e+000;-5.264674e-001;4.101245e+000;9.082202e+000;8.836149e+000;3.698025e-001;7.942162e-001;8.365042e-001;1.195312e-002;9.622045e-002;-9.411813e-001;9.789004e-001;4.164027e-001;2.878083e+000;6.377387e-001;-1.539141e+000;-4.612897e-001;-3.590547e+000;-1.536125e-001;1.794634e+000;-1.376388e-001
44;0.439748;1.947541e+000;-7.260245e+000;-1.008126e+001;-1.200549e+001;-1.021120e+001;-2.950856e+001;-6.518606e+000;-7.162375e+000;3.162816e+001;2.362954e+001;-1.017751e+001;-2.000895e+001;-5.358860e+000;1.255899e+000;-4.600395e+000;-6.548556e+000;-8.442392e-002;2.548856e+000;5.224389e+000;-2.506891e-001;1.320640e+000;6.701147e+000;5.192409e-001;-1.358376e-001;2.877780e+000;4.512327e-001;-3.485515e-001;1.387970e+000;2.705275e-001;1.118351e+000;7.887610e-001;2.013012e+000;4.495705e-001;-2.276024e+000;-3.488609e+000;-4.340533e+000;1.179873e-002;6.663193e-001;-3.221258e-001
45;0.449742;1.804158e+000;-1.334723e+001;-2.387131e+001;-1.136772e+001;-9.234684e+000;-2.449952e+001;-1.436556e+001;-8.689026e+000;3.543719e+001;1.144922e+001;-2.369240e+001;-1.362466e+001;-5.278796e+000;5.892958e-001;-2.343753e+000;-5.262946e+000;1.205427e+000;2.912417e+000;7.146428e+000;1.314914e+000;-2.652513e+000;5.619896e-001;-3.922056e+000;-4.917317e-002;3.115684e+000;-1.038660e-001;-3.034441e-001;2.125977e+000;1.324752e+000;3.388634e-001;2.806750e-001;1.516666e+000;6.607074e-001;-2.495802e+000;-4.444448e+000;-1.828276e+000;2.035384e+000;-8.243802e-001;-3.052681e-001
46;0.459736;1.103776e+000;-9.872416e+000;-2.280991e+001;-4.316061e+000;7.207336e-001;-1.684821e+001;-9.694303e+000;-1.273504e+001;3.301004e+001;-1.293960e+000;-1.767084e+001;-9.621531e+000;-5.808605e+000;-1.229277e-001;5.846244e-001;-2.987809e+000;3.751976e-001;2.479316e+000;8.011212e+000;1.757534e+000;-4.291905e+000;-5.341601e+000;-3.253030e+000;2.752919e+000;3.264961e-002;-3.535433e-001;8.110330e-002;1.831564e+000;1.059856e+000;-9.792467e-001;-8.828147e-001;5.136716e-001;2.356938e-002;-1.832974e+000;-3.708522e+000;1.149283e+000;2.717429e+000;-1.284929e+000;-1.187668e-001
47;0.469730;7.645283e-001;-9.029667e+000;-2.346735e+001;-7.523356e+000;-3.873072e+000;-7.447348e+000;-1.279419e+000;-1.990738e+001;2.000555e+001;6.133517e+000;-1.418239e+001;-1.481598e+001;-6.506824e+000;5.278358e-001;2.308870e+000;-1.715794e+000;-1.344280e+000;1.648235e+000;9.175016e+000;1.772958e+000;-5.571491e+000;-7.118665e+000;1.580906e+000;9.102346e+000;-1.905120e+000;-2.874483e-001;6.922293e-001;1.073172e+000;7.036885e-001;-1.469434e+000;-1.487138e+000;-7.615560e-001;-5.587288e-001;-1.299431e+000;-1.981603e+000;1.974141e+000;1.978351e+000;2.383492e-001;8.097352e-002
48;0.479725;1.852717e+000;-6.495903e+000;-2.522228e+001;-1.205169e+001;-4.954224e-001;2.021418e+000;-4.274005e+000;-2.301272e+001;1.263597e+001;1.002224e+001;-1.167921e+000;-1.925004e+001;-6.512562e+000;1.692146e+000;2.231112e+000;-3.022853e+000;-3.705804e+000;-1.233126e+000;6.778452e+000;-3.618643e-001;-6.384741e+000;-8.001139e+000;3.514175e+000;8.875546e+000;-1.036463e+000;-5.081000e-002;1.184559e+000;2.343091e-001;1.054010e+000;-1.216659e+000;-1.984720e+000;-1.308486e+000;-2.317677e-001;-1.194737e+000;-6.908731e-001;9.826909e-001;-2.085291e-001;2.449772e+000;1.359648e-001
